package,location,skip
zsh,pacman,false
oh-my-zsh,custom,false
st,custom,false
pip36,custom,false
git,pacman,false
yay,pacman,false
gvim,pacman,false
rofi,pacman,false
rxvt-unicode,pacman,false
i3-gaps,pacman,false
polybar,aur,false
ttf-font-awesome-4,aur,false
ranger,pacman,false
compton,pacman,false
python3,pacman,false
python36,aur,false
feh,pacman,false
tmux,pacman,false
byobu,pacman,false
firefox,pacman,false
xrandr,pacman,false
arandr,pacman,false
blueman,pacman,false
dos2unix,pacman,false
irssi,pacman,false
xclip,pacman,false
xdotool,pacman,false
zathura,pacman,false
xorg-xinit,pacman,false
sshfs,pacman,false
i3lock,pacman,false
gpick,pacman,false
dmenu,pacman,false
discord,aur,false
code,snap,false
lib32-libwacom,aur,true
wacom-utility,aur,true
minecraft-launcher,aur,true
input-wacom-dkms,aur,true
discord-canary,aur,true
